Downloaded from wid.world on 16-06-2026 at 20:40:23
Percentile ;Year ;"aptinc_999_j_US
Pre-tax national income 
Top 10% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
USA";"aptinc_999_j_SE
Pre-tax national income 
Top 10% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Sweden";"aptinc_999_j_IN
Pre-tax national income 
Top 10% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
India";"aptinc_999_j_BR
Pre-tax national income 
Top 10% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Brazil";"aptinc_999_j_NG
Pre-tax national income 
Top 10% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Nigeria";"aptinc_999_j_DK
Pre-tax national income 
Top 10% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Denmark";"aptinc_999_j_NO
Pre-tax national income 
Top 10% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Norway";"aptinc_999_j_FR
Pre-tax national income 
Top 10% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
France";"aptinc_999_j_NL
Pre-tax national income 
Top 10% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Netherlands";"aptinc_999_j_GB
Pre-tax national income 
Top 10% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
United Kingdom";"aptinc_999_j_KR
Pre-tax national income 
Top 10% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Korea";"aptinc_999_j_JP
Pre-tax national income 
Top 10% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Japan";"aptinc_999_j_MX
Pre-tax national income 
Top 10% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Mexico";"aptinc_999_j_ZA
Pre-tax national income 
Top 10% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
South Africa";"aptinc_999_j_PL
Pre-tax national income 
Top 10% | average income or wealth | all ages | equal split | Constant local | ppp | constant (2024)
Poland";"aptinc_999_i_US
Pre-tax national income 
Top 10% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
USA";"aptinc_999_i_SE
Pre-tax national income 
Top 10% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
Sweden";"aptinc_999_i_IN
Pre-tax national income 
Top 10% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
India";"aptinc_999_i_BR
Pre-tax national income 
Top 10% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
Brazil";"aptinc_999_i_NG
Pre-tax national income 
Top 10% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
Nigeria";"aptinc_999_i_DK
Pre-tax national income 
Top 10% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
Denmark";"aptinc_999_i_NO
Pre-tax national income 
Top 10% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
Norway";"aptinc_999_i_FR
Pre-tax national income 
Top 10% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
France";"aptinc_999_i_NL
Pre-tax national income 
Top 10% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
Netherlands";"aptinc_999_i_GB
Pre-tax national income 
Top 10% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
United Kingdom";"aptinc_999_i_KR
Pre-tax national income 
Top 10% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
Korea";"aptinc_999_i_JP
Pre-tax national income 
Top 10% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
Japan";"aptinc_999_i_MX
Pre-tax national income 
Top 10% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
Mexico";"aptinc_999_i_ZA
Pre-tax national income 
Top 10% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
South Africa";"aptinc_999_i_PL
Pre-tax national income 
Top 10% | average income or wealth | all ages | individual | Constant local | ppp | constant (2024)
Poland"
p90p100;1990;164793.3;868565.7000000001;157193.7;177809.6;3193771.5;675005.2000000001;1064124.8;82048.0;84744.0;78812.8;32134126;12485215;960942.2000000001;317549.5;57422.4;260701.9;;;;;;;;;;;;;;
p90p100;1991;159811.0;868521.1000000001;159233.0;176804.2;3076140.3;679015.7000000001;1102946.3;80686.70000000001;86690.20000000001;79310.1;35662060;12376729;991578.9;336104.0;57202.5;251939.0;;;;;;;;;;;;;;
p90p100;1992;168977.6;827552.1000000001;166196.6;172468.0;3214579.3;699297.8;1176609.9;80569.3;86509.5;79861.70000000001;35193420;11046028;1010185.8;333290.4;57034.3;263566.7;;;;;;;;;;;;;;
p90p100;1993;170322.8;818848.8;178686.3;177331.3;3012033.8;700398.6000000001;1287937.4;79223.20000000001;87627.5;83344.5;36623008;11010789;974167.9;327139.9;61385.4;265422.3;;;;;;;;;;;;;;
p90p100;1994;175722.4;954763.3;194792.7;187976.8;2886579.0;764859.5;1424861.4;82357.8;91775.90000000001;87522.8;37961104;11149398;992536.9;342137.0;70865.7;274470.8;;;;;;;;;;;;;;
p90p100;1995;182187.5;1018996.8;205728.8;193350.1;2936329.5;793932.7000000001;1488981.9;84280.90000000001;95991.8;89017.3;39248024;11826225;875694.8;355607.7;81851.1;282514.0;;;;;;;;;;;;;;
p90p100;1996;191939.0;1006463.1;214845.6;194388.6;2976404.8;823016.9;1668239.4;88053.6;98512.3;94083.5;41255232;12491141;923974.3;374829.5;87167.40000000001;297033.8;;;;;;;;;;;;;;
p90p100;1997;202321.6;1070386.5;225962.6;197477.0;2981983.5;868043.2000000001;1840412.0;92325.1;102351.7;98206.5;43378040;12453484;988981.9;387892.3;92994.8;313033.1;;;;;;;;;;;;;;
p90p100;1998;211393.4;1119984.3;236676.4;193637.1;2991871.3;883179.8;1744622.9;97639.1;104836.4;105461.0;40457872;12294012;1029979.9;391872.5;101879.9;327334.0;;;;;;;;;;;;;;
p90p100;1999;221128.8;1175991.9;253726.2;188609.6;2815456.0;954788.4;1848919.6;100917.4;111351.8;107725.3;46273040;12369919;1041895.6;402341.0;105519.4;339858.1;;;;;;;;;;;;;;
p90p100;2000;230196.0;1186742.9;262883.1;195625.1;2865024.8;982873.2000000001;2138958.5;104752.3;113071.6;110322.0;52999428;13079492;1101839.4;425126.7;116298.6;355032.5;;;;;;;;;;;;;;
p90p100;2001;224870.5;1155245.6;276417.1;194001.9;2968302.3;936984.5;2037716.3;106916.2;119936.0;113509.5;55898352;13565227;1083107.5;440211.0;117206.8;347867.6;;;;;;;;;;;;;;
p90p100;2002;223675.5;1199388.6;289497.3;199736.1;3380980.5;924702.6000000001;2111295.3;106075.6;121031.6;116409.0;62256084;13834905;1048130.3;468036.5;123495.6;343845.4;;;;;;;;;;;;;;
p90p100;2003;228632.2;1300829.9;312392.2;197544.9;3512241.8;909986.8;2167449.5;106716.3;122856.8;122466.1;65670620;14321510;1092246.5;488503.7;129502.9;347846.8;;;;;;;;;;;;;;
p90p100;2004;239968.0;1361412.8;340619.9;204735.9;3736946.8;953071.1000000001;2364898.0;110784.8;123455.9;122221.2;70762752;15022490;1164369.0;513127.8;137476.9;363745.8;;;;;;;;;;;;;;
p90p100;2005;252230.9;1455852.8;368599.3;217034.8;3820628.3;1059078.9;2807932.8;111947.7;124250.5;129380.2;75320016;15377097;1158241.4;553731.6;144091.9;381953.8;;;;;;;;;;;;;;
p90p100;2006;260015.4;1589105.9;401530.7;222895.3;3880442.5;1125263.6;2506071.0;113231.8;131369.8;130279.0;82596240;15700689;1194745.5;583447.9;156696.9;395834.7;;;;;;;;;;;;;;
p90p100;2007;261111.1;1603135.5;437631.3;228454.7;3872953.5;1091920.8;2564122.8;117952.1;142047.0;132986.5;90911272;15938756;1263661.0;616713.4;167353.2;388958.9;;;;;;;;;;;;;;
